title,description,link
Akatsuki Jihen,"The Sukaku (Zhu He) family is a distinguished line of shamans that protects mankind from divine beasts. Our protagonist, Mutsuki, (Wang Yue) bears a promising future while his sister Uzuki (Chu Yue) completely lacks the capability to use any spiritual techniques. ""You are not a child of Sukaku if you are not a shaman."" Bound by those antiquated customs, Uzuki is forbidden from leaving the house. A More.",https://mangakakalot.com/manga/sp930415
I Raised the Villains Preciously,"I will become the nursery teacher of the children who would become the future Black Sorcerer, the Heads of Dark Guild, and Psychopath Emperor. I didn’t want to get entangled and wanted to sneak out of the nursery, but instead, I decided to raise the poor little villains with full sincerity.
“Teacher, are you leaving us behind?”
——
“If you look at this handsome face a little more, you won’t be a More.",https://readmanganato.com/manga-pv993156
Army of Hell,"A boy abandoned at birth and raised by rats, with the mysterious power to control rats, grows up seeing the dark side of the humans that rejected him, and vows to become humanity's greatest enemy. More.",https://readmanganato.com/manga-rp994498
Biden vs Obama,More.,https://mangakakalot.com/manga/aq934336
Kiraboshi Ojou-sama no Kyuukon,"One day, Yoshimi Numamoto suddenly receives a marriage proposal from a beautiful girl, when he doesn't even know her name. Apparently, she is a super-wealthy young lady. How can she she be so sure of herself? He can't help but feel embarrassed at the situation, but she remains insistent... and soon his school life will be turned upside down! Sparkling girl x plain boy super-darling love comedy beg More.",https://mangakakalot.com/manga/ta934210
Betrayal of Dignity,"Would you sacrifice your honor to marry a Duke?
In order to save her family from ruin, Chloe Verdier must find a groom for her sister, Alice. She soon runs into the handsome but arrogant Duke Tisse who makes a proposal that could save them. When Alice flees with a mysterious man, Chloe must seek out the Duke in the biggest gamble of her life. More.",https://readmanganato.com/manga-qg994141
Salt Friend,More.,https://readmanganato.com/manga-kl987846
2 Saisa no Osananajimi,A Two Year Age Gap Between Childhood Friends More.,https://mangakakalot.com/manga/2_saisa_no_osananajimi
Jinhua Kuangchao,"After his death, Duan Fei regresses 20 years back in time to just a few key hours before the virus catastrophe is set to begin, and was given a chance to remedy the regret he has shouldered for the past 20 long years. He utilizes all the knowledge he has amassed prior to his regression to arm himself in preparation for the oncoming apocalypse. His newly acquired ‘Evolutionary Tree” is More.",https://readmanganato.com/manga-mm990021
My Female Apprentices Are All Big Shots From the Future,"My Female Apprentices Are All Big Shots From the Future , My Female Apprentices Are All Big Shots From the FutureThe long river of history is facing collapse, the strongest Taoist priest returned to one hundred thousand years ago with a whole body of cultivation base? Ding~ Your system task has arrived, and the task of conquering the female apprentice is up to you!Read more: https://my site/manga/ More.",https://readmanganato.com/manga-nm990847
