title,description,link
I Want To See You Embarassed,"Akito Shirasawa, a high school boy whose father is a film director, sees something in the library preparation room. It was the ""masturbation scene"" of his classmate, Natsuho Honjo. Akito is puzzled, but ends up filming it with his smartphone. Natsuho notices Akito, and in the men's restroom, makes a ""proposal"" to Akito! Exposed high school girl and movie boy. The ""expo More.",https://readmanganato.com/manga-nw990505
Lazy Dungeon Master,"""Come on, kill all those bandits for me already!"" ""No thanks. I don't wanna do any work."" My name is Keima Masuda, and my hobby is spending each day doing exactly nothing… but one fateful night, I was summoned to another world where I met a blonde young girl who I named Rokuko. It seemed that fortune had favored me and I would soon be living a wonderful life free of work. But even though I'm a gu More.",https://readmanganato.com/manga-co979497
"Bind, Connect","The manga centers on Kanoko and her friend Tsunagu. Their personalities are completely opposite of each other, but they are still very close. But something happens one day while they're playing near a small mountain shrine that they call Nogeyama-sama. More.",https://readmanganato.com/manga-fo982671
Story of a Small Senior In My Company,"-""My senpai from work... is tiny and cute.""
Shinozaki is an office worker who is taken care of and coddled by his senior team member Shiori Katase: a gorgeous, profoundly kind, loving, and diminutive woman. Shinozaki certainly hopes that she's not doing it out of duty... but her joy of doing so increasingly exposes her feelings!
This page refer More.",https://mangakakalot.com/manga/cz925703
Sissy,".Paranoid scum attack x gentle and weak. Li Chengxiu tasted the bitterness of life at a young age and longed to be loved. Shao Qun has a prominent background, and his stubborn and uninhibited character of the second generation ancestor was brought to the extreme in middle school. He was close due to curiosity. From bullying to being attracted, the sentimental sentiment happened at the wrong time a More.",https://readmanganato.com/manga-os992001
Love Logic (Jeong Hyeon),"Bad luck? Fate? That's never been in the cards for mathematics genius Kang Heeseo. What he trusts are cold hard facts, based on only physics and probability. But his whole world goes toppling down when he's faced with one Doh Hanbyeol from the popular idol group Illogic. Heeseo finds truth and beauty in Hanbyeol's beautiful face, and there's no stopping him from going to the Illogic concert. But t More.",https://readmanganato.com/manga-rm994369
Stay With Me,"The hottest and most popular model on SNS these days, Choi Bom. Born with a good-looking appearance, he accidentally became a trend, posting a job offer for a housekeeper on his SNS. And after a while, a man comes to visit saying that he will work as a housekeeper... His best friend and first love, who disappeared 7 years ago ... More.",https://readmanganato.com/manga-oc991511
To a New Life,"Humanity's strongest regression action fantasy.
""Even if the disgusting gods did it, they still gave the opportunity. if you want to wedge you have to kill them"".
Zephir, the last survivior of mankind. The lonely battle with demon lord ended id defeat, but the opportunity given by the gods bring us back 10 years ago.
The gods who treated demons and humans as a shit. More.",https://readmanganato.com/manga-lj989318
Drawing Romance,"Chan-Woo finds it difficult talking to Sul-Hee, who always seems to be angry about something. However, what he says to her actually makes her heart beat like crazy! A sweet, romantic story of a young couple's first love! More.",https://readmanganato.com/manga-pe992613
Arpeggio on Sea Surface,More.,https://readmanganato.com/manga-pe992413
