title,tags
Akatsuki Jihen,"the sukaku (zhu he) famili is a distinguish line of shaman that protect mankind from divin beasts. our protagonist, mutsuki, (wang yue) bear a promis futur while hi sister uzuki (chu yue) complet lack the capabl to use ani spiritu techniques. ""you are not a child of sukaku if you are not a shaman."" bound by those antiqu customs, uzuki is forbidden from leav the house. a more.[]"
I Raised the Villains Preciously,"i will becom the nurseri teacher of the children who would becom the futur black sorcerer, the head of dark guild, and psychopath emperor. i didn’t want to get entangl and want to sneak out of the nursery, but instead, i decid to rais the poor littl villain with full sincerity. “teacher, are you leav us behind?” —— “if you look at thi handsom face a littl more, you won’t be a more.['i rais the villain precious / 곱게 키운 악당들', 'solgit - 솔깃', 'ongoing', 'comedi - drama - fantasi - harem - histor - josei - romanc - webtoon - manhwa']"
Army of Hell,"a boy abandon at birth and rais by rats, with the mysteri power to control rats, grow up see the dark side of the human that reject him, and vow to becom humanity' greatest enemy. more.['地獄の軍団 ; jigoku no gundan', 'tatsumi yoshihiro', 'ongoing', 'drama - horror - psycholog - seinen - slice of life - tragedy']"
Biden vs Obama,more.[]
Kiraboshi Ojou-sama no Kyuukon,"one day, yoshimi numamoto suddenli receiv a marriag propos from a beauti girl, when he doesn't even know her name. apparently, she is a super-wealthi young lady. how can she she be so sure of herself? he can't help but feel embarrass at the situation, but she remain insistent... and soon hi school life will be turn upsid down! sparkl girl x plain boy super-darl love comedi beg more.[]"
Betrayal of Dignity,"would you sacrific your honor to marri a duke? in order to save her famili from ruin, chloe verdier must find a groom for her sister, alice. she soon run into the handsom but arrog duke tiss who make a propos that could save them. when alic flee with a mysteri man, chloe must seek out the duke in the biggest gambl of her life. more.['품격을 배반한다', 'kimpa - bokyung kong', 'ongoing', 'drama - fantasi - josei - matur - romanc - webtoon - manhwa']"
Salt Friend,"more.['เพื่อนกัน ; 盐友', '京见', 'ongoing', 'comedi - slice of life']"
2 Saisa no Osananajimi,a two year age gap between childhood friend more.[]
Jinhua Kuangchao,"after hi death, duan fei regress 20 year back in time to just a few key hour befor the viru catastroph is set to begin, and wa given a chanc to remedi the regret he ha shoulder for the past 20 long years. he util all the knowledg he ha amass prior to hi regress to arm himself in prepar for the oncom apocalypse. hi newli acquir ‘evolutionari tree” is more.['frenzi of evolut ; evolut frenzi ; the frenzi of evolut ; tide of evolut ; jìnhuà kuángcháo ; 进化狂潮 ; jin hua kuang chao', '伏兹 - mokf', 'ongoing', 'action - fantasi - shoujo ai - shounen']"
My Female Apprentices Are All Big Shots From the Future,"my femal apprentic are all big shot from the futur , my femal apprentic are all big shot from the futureth long river of histori is face collapse, the strongest taoist priest return to one hundr thousand year ago with a whole bodi of cultiv base? ding~ your system task ha arrived, and the task of conquer the femal apprentic is up to you!read more: https://mi site/manga/ more.['我的女徒弟们都是未来诸天大佬', 'updating', 'ongoing', 'action - adventur - fantasi - harem - historical']"
I Randomly Have a New Career Every Week,"after be fire from hi company, lin yi accident get the all-pro experi system. lin yi reli on the variou career arrang and gener reward given by the system to achiev hi ambit and path to wealth step by step, becom the ultim all-pow big brother who domin the world. more.[]"
My Cultivator Girlfriend,"the modern cultiv world ha becom a place of intrigu and calculation. the strong prey on the weak. everyon feel insecure. the secur guard, hero ma, start hi cultiv by accid after he save a girl cultivator... more.['wo de tian jie nv you,wo de tian jie nuyou,我的天劫女友', 'dao ruisi', 'ongoing', 'action - adventur - fantasi - romanc - supernatural']"
The Ten Great Emperors At The Beginning Are All My Apprentices,"the legendari king gu xuanchen had onc train ten power emperor-level expert as hi disciples, who domin the world with their strength. however, when he tri to break the seal that bound him, he wa struck by lightn and perished. he wa then reborn as a son-in-law and embark on a journey to regain hi former glory, overcom variou obstacl along the way. he slay demon and mo more.[]"
See You My King,"zhang li wit the ""stone statue"" he wa close associ with disappear in front of hi eyes. fill with grief and regret, he come to arriv in at elbis, a mythic ancient civil from long ago that had mysteri perished. at last, he encount the stone statu again, onli to find that he wasn't the old crybabi that clung to him everi day, but a cold, ruthless tyrant instead. ca more.[]"
My Wife and I Dominate the Three Realms,"read my wife and i domin the three realmsnot avail more.['我和老婆制霸三界 ; wo he laopo zhi ba sanjie', '遍地星辰', 'ongoing', 'action - adventur - comedi - martial arts']"
I Eat Soft Rice in Another World,"zhang hao faint after watch the rare blood moon in a century. after wake up, he found that the whole world had changed… the attribut and concept of men and women are complet reversed. when a woman marri a man into a man marri a woman, the woman ha to pay a gift. it ha becom veri normal for women to make money to support their families. it ha becom normal for a man to be a hous more.[]"
I Can Have Infinite Epiphanies,"i can have infinit epiphaniesw ky wxin dnw more.['wo keyi wuxian dunwu , wǒ kěyǐ wúxiàn dùnwù , 我可以无限顿悟', '星灵动漫', 'ongoing', 'action - drama - fantasi - histor - martial art - shounen']"
My Brothers Dote On Me,"when she woke up in a new life, she becam a poor littl girl who wa sent to the mental hospit by her own brothers. so with the pain memori of the origin owner in the previou life, pei yun ge began to fight back and fight against villain from all walk of life! all the way she abus the scums, all the way she feel cool! however, she suddenli found her three former scum older brother more.['被哥哥们团宠后我野翻了', 'su xian rong (origin work) + bao qing comics', 'ongoing', 'romanc - manhua']"
Look-Alike Daughter,"“i think my mother is a killer.” gil so-myeong, who ha excel grades, good manners, and an exemplari child, ha live as a perfect daughter accord to the standard her mother demanded. howev on the day that hi younger brother rise from the river as a corpse, a terrifi suspicion rise in so-myeong' mind. a cruel mother-daught thriller between a mother who tri to get rid of everyt more.[]"
"Sweets, Elf, And A High School Girl","japanes sweet save a debt-ridden elf!alice, an elf, run a confectioneri shop in the forest of auin to pay off the debt left by her parents.on day, however, when she is worri that her sweet are not selling, she suddenli fall into the ""fountain of wishes.when she open her eyes, she find herself in a strang world... more.[]"
Dark Gathering,"keitarou, who' alway had a disposit for attract spirits, get hire as a tutor for a littl girl name yayoi who can see spirit and is search for the spirit that took away her mother. more.[]"
Tokyo Neon Scandal,"the magazin contain peopl ""secrets"".hayama, a new employe is assign to the weekli scandal editori department.it is a weekli photo magazin that publish extrem stori about everything, from celebr infidel to behind-the-scen crimes, and is derid as ""trash"" by some people.a soon as he is assign to the magazine, hayama is pair up with a femal photograph and he more.[]"
The Grim Reaper Falls In Love With A Human,"""you can see me again?""on day ""human"" wa overwork from hi black compani and about to die... and saw a grim reaper!but even though her job is to collect souls, ""grim-chan"" instead take care of ""human"" so he doesn't die....? more.[]"
Boss Bitch Baby,".koo hojin, who constantli fall for peopl to a fault, and baek yoosung, the authorit and arrog heir to a larg company, spend the best and worst one-night stand together. a few day later, under one condition, yoosung pay off hojin' debt... more.['老板的小宝贝 ; 보스 빗치 베이비', 'dacto', 'ongoing', 'romanc - yaoi']"
Abashiri Ikka,"the most famou and terribl famili of gangster in the whole world is about to dissolve, onc it' reveal the mysteri secret of the third member, kikunosuke, the most power member of the abashiri. however, the almost pacif life of the abashiri famili get complic when kikunosuk enter in one of the most prestigi elit schools, where instead of learn about art and culture, stu more.[]"
Versailles of the Dead,"a coach from austria race toward the french royal court on a dark, gloomi night. insid is mari antoinette, bride-to-b of loui xvi, accompani by her twin brother, albert. someth goe terribl amiss dure their trip when walk corps attack the carriage. fight tooth and nail, albert is the sole survivor. to keep the tent allianc between austria and franc intact, more.['ベルサイユオブザデッド ,尸乱凡尔赛', 'kumiko suekane', 'ongoing', 'action - drama - gender bender - histor - horror - mysteri - seinen - supernatural']"
Survive on a deserted island with beautiful girls,"ancient beasts, modern humans, futur technology, time and space chao of the desert island; stone age, power age, electr age, rapid develop of the desert island civilization. exil on an uninhabit desert island, open a system, qin tian from zero to survive. the first thing you need to know is how to get the best out of your child. more.['updating', 'ongoing', 'action - fantasi - martial art - school life - shounen - webtoons']"
Fire After Rebirth,"lin qingyan wa born without pain, and master gu wa afraid that hi babi would be injur and didn't know, so he use thi reason to check people' whole bodi everi day. shuang jie/sweet chong' cold and well-behav littl beauti is attack by x indiffer and domin busi tycoon (ps: you are born without pain, even if you are injured, you can't detect it) lin qingyan in hi previou more.['wan ren xian chongsheng hou huobao quan wang ; thousand of peopl suspect of reborn queen for be popular on the internet ; wàn rén xián chóngshēng hòu huǒbào quán wǎng ; 万人嫌重生后火爆全网', 'grapefruit toffe - 星灵动漫', 'ongoing', 'drama - fantasi - psycholog - romanc - shoujo - shounen ai']"
The Distance between us,"more.['30cm between us à 30 cm de toi 君との距離、30センチ 우리 사이 30cm the distanc between us (yuju)', 'marui - maru', 'ongoing', 'comedy']"
The Return of the Crazy Demon,"yi zaha. the crazi demon crazi for martial arts. while he wa run away after steal the heavenli pearl of the demon cult leader, he fell off a cliff. after think that everyth wa over, he open hi eye to see that he had return back to when he wa a waiter and he is be beat up for someth that he didn't do. the crazi demon who return to the begin of hi day as a waiter! more.['return of the mad demon; 광마회귀; return of the mad demon', '유진성', 'ongoing', 'action - fantasi - martial art - shounen - webtoon - manhwa']"
Tonari no Hana wa Kyou mo Ichiban Kakkoii,"unbeat in fights, blond combed-back hair, and ha a flower-shap scar on hi forehead. no one ha heard rumor about “hanaoni'', the legendari delinquent, for half a year.shion is a highschool student who ador and idol hanoni, and aim to be a “cool deliquent”. he copi hanaoni’ appear and spend hi day get involv in fight with thugs.azami, who is shion’ classmat more.[]"
To Make You Happy,"read manhwa on warning:, the largest english comic websit ha just updat the latest chapter of manhwa ""to make you happy""summary:colleg student soshin kang ha made a deal with the devil. when poverti and violent loan shark forc soshin to take up an offer from aram, soshin' high school friend-turned-bully, to live in aram' lavish hous with all expens paid, it seem like a dream come t more.['how to creat happi / how to make happi / 幸せの作り方 / 幸福的代价 / 행복을 만드는 방법', 'redgru', 'ongoing', 'drama - romanc - shoujo ai']"
Divine Circumstances,peopl have red thread that tie them to their destin signific other. are ryeong and taeseong go to be tangl up by their red threads? are they just enemi that couldn't stop bickering? or are they go to be lover bound by the red threads?god' love storylov situat of the god more.[]
We Only Guess Each Other,"not found... more.['우리는 서로를 짐작할 뿐', 'yuni lim', 'ongoing', 'smut - webtoon - yaoi']"
Starting Out As Friends With A Yankee Girl,"a guy fell in love at the first sight with the school #1 delinquent. he steel himself and ask her out, but... more.['ヤンキー娘とお友達から始めてみた', 'kuroabam', 'ongoing', 'romanc - school life']"
I’m Just An Immortal,"in thi era, peopl are alway reincarnation, but i lin fei, depend on be immortal. i have live for hundr of million years, just to find my belov one that i lost for a million years!! more.['我不过是个大罗金仙', '红鲤鱼工作室', 'ongoing', 'action - fantasi - romance']"
Giant Ojou-sama,"i can't believ my ojou-sama is so huge! fujido oriko is the buxom young head of the fujido zaibatsu, a group that ha a monopoli on japan' vend machin industry. and serv at her side is her person butler, the eccentr dr. sebastion. when a monster suddenli attack the city, dr. sebast slip hi ojou-sama an experiment energi drink hi team in r&d ha been deve more.[]"
Girl and Science,"they were childhood friends, and she had alway been more power than him. but when they accident travel (summoned?) to anoth world, it wa final time for him to becom the knight in shine armor! he had to find her first though, sinc they were separated... come and wit hi fight to be better in a crazi world where monster roam and technolog wa more.['妹子与科学', '诈术师德德', 'ongoing', 'fantasi - martial art - romanc - sci fi - shounen - supernatural']"
Be Careful When Choosing a Husband,"after her mother' death, elros is left alon in a monastery, while her father is strip of hi fortune. when news of hi pass reach her, she must flee the monasteri and marri within hour to claim her right inherit and title.desperate, she pray for a husband and fate bring a man to her feet. littl doe she know, he is lachsann, the man who stole her money.despit her mother' wa more.[]"
Douluo Dalu 3: The Legend of the Dragon King,"follow the advanc of spirit technology, the human of douluo contin conquer the ocean and discov two new continents. after be hunt by spirit master excessively, the spirit beast are nearli extinct. after countless year of lie dormant, the king of the spirit beast ha awaken in the great star dou forest. it will lead it remain clansmen in take vengeanc against h more.['斗罗大陆3龙王传说 (chinese); soul land 3 (english); soulland iii; đấu la đại lục 3; đấu la đại lục iii - long vương truyền thuyết (vietnames - tiếng việt - tv)', 'tang jia san shao', 'ongoing', 'action - adventur - fantasi - martial art - shounen - supernatur - manhua']"
The Duke’s Teddy Bear,"she is an illegitim child of a count and is alway care not to tarnish her family' name. sinc childhood, she ha a secret that no one knows, and that is everytim she goe to sleep, her soul leav her bodi and wander around she can control and enjoy thi abil of hers. one night at the ball, she got involv into an unpleas situat with the duke, and as she wander around that ni more.[]"
Paper Plane,". on their first encounter, the 5-year-old tang junh regard the 6-year-old yang xuan as a hero and willingli follow hi example.yang xuan: ""there are 12 way to fold a paper airplane, don't you know? i'll teach you.""ten year later, the 17-year-old tang junh is live in yang xuan' home as hi younger brother and the feud between the older gener ha yet to subside, as the two teenag more.['纸飞机', 'tan shi (潭石)', 'ongoing', 'drama - romanc - shounen ai']"
Death When Separated,"thi is part of the red string univers publish by ylab.th perfect influenc life. have a date with the girl you like.onli confess remains, but i got caught up in an absurd terrorist incident?!""it' not an obsession, we really...! if we break up, we die!!"" more.[]"
Isekai Walking,"sora, a japanes boy who wa summon to anoth world, gain the skill ""walking"". it effect is that ""no matter how much he walks, he never get tired"". becaus of thi weak skill, the king expel him from the group of summon heroes. but when sora start walk in anoth world, he suddenli level up!walk had a hidden effect of ""gain 1 exp for each step taken"". he acquir use skil more.[]"
My Husband Changes Every Night,"""i'll come to the princess' bedroom everi night.""a perish worldmi famili sold me to the worst tyrant in history.but thi man, he' weird at night.""th onli one who can heal me is the princess. i need princess.""h unbuttoned. a burn desir wa reveal in the flash light of hi eyes.do you have to do thi everi night?'a if to reliev the extrem old thirst, the man endlessli long for more.['밤마다 남편이 바뀐다; my husband chang everi night', 'han yunseol - 한윤설', 'ongoing', 'drama - fantasi - histor - romanc - webtoon - manhwa']"
Dororo Re:Verse,"born in the age of the japanes civil wars, ""hyakkimaru"" had hi bodi stolen from him by demons.h hunt for the demon who have fragment of hi bodi and recov hi bodi bit by bit.hav live till the present day chase after demon in the city' shadows, hyakkimaru is one day seek out by a childroro, a girl who hold a fragment of hyakkimaru' bodi despit not be a demon.und a contra more.[]"
I Love Amy,"""i thi how it feel to have a friend?"" bibi is obsess with peter, the princ of the school. when she spot ami next to him, she start to feel jealous. she invit ami to her hous to warn her, but instead take a like to the girl. they agre to be friend on the condit that ami ha to help bibi confess. more.['나는 에이미를 사랑해', 'unun (언니)', 'ongoing', 'psycholog - romanc - school life']"
Night of Shadows,"dream come and go, but thi nightmar is here to stay. areum keep a note to keep track of her dream and premonitions, which, to her horror, oftentim becom true. one day, she discov a set of page she doesn’t rememb writing, and that’ when all hell break out in her school. can she piec the broken part of her dream togeth and surviv the terror that lurk in the dark? more.['geurimjaui bam ; 그림자의 밤 ; 残影の夜 ; 残影之夜 ; 黑影之夜', 'yung - 융', 'ongoing', 'action - drama - fantasi - supernatur - manhwa']"
It's Over! Empress’ Husband is Actually Invincible,"xiao tian, a human on earth, wa summon by empress zi ruoyan to the great yan dynasti to becom her husband at the time of life and death, and got a ""strongest suprem system"", but xiao tian onli want to be the ultim soft rice princ of the empress! so he resolut reject the system, but he didn't expect that the strong system' style of paint would suddenli chang into a ""dog-lick more.['empress’ husband is actual invincible; 完了啊！女帝的软饭丈夫居然无敌 / wanliao ah! nvdi de ruan fan zhangfu juran wudi', '番茄漫画', 'ongoing', 'action - adventur - comedi - drama - fantasi - histor - romance']"
There Is No Perfect Married Couple,"read manhwa there is no perfect coupl / on the day of their 3rd wed anniversary, her husband announc the end of their arrang marriage. ""let' get divorce."" yeonhwa, who ha been in love with geonwoo for a long time, went to hi compani and refus to divorc and got into an accid while return home. ""who are you?"" yeonhwa, who want to avoid the divorce, pretend to have lost her more.['ther is no perfect coupl / 완벽한 부부는 없다', 'updating', 'ongoing', 'drama - josei - romance']"
Go Away Romeo,"read manhwa go away romeorosalin believ that she and romeo were destin to be lovers, but an unexpect tragedi come when he die on the same day as her cousin, juliet. rosalin learn she ha one last memori of romeo a son. however, rosaline' love memori of romeo is shatter when she learn of hi betrayal. with no one left to love and protect but her son, the last thing she want is for more.['paintword', 'ongoing', 'drama - fantasi - romance']"
I Was Rocked to the World’s Richest Man in a Matchmaking Office,"as soon as i graduated, the countri assign me an object, and it wa also the super diamond king ye junq on the forb rich list. as the leader of the top ten cancer of unmarriag that have spread wildli outside, ye xingguang thought that such a big man must be veri it' hard to get along with, but in the end, you hold her in the palm of your hand! who know that the greatest luck in thi lif more.[""i wa rock from the marriag offic to the world of the richest individual, i wa rock to the world' richest man in a matchmak office, wǒ zài hūnpèi suǒ yáo dàole shìjiè shǒufù, 我在婚配所摇到了世界首富"", '阅文漫画', 'ongoing', 'drama - fantasi - romanc - shoujo']"
I Want To See You Embarassed,"akito shirasawa, a high school boy whose father is a film director, see someth in the librari prepar room. it wa the ""masturb scene"" of hi classmate, natsuho honjo. akito is puzzled, but end up film it with hi smartphone. natsuho notic akito, and in the men' restroom, make a ""proposal"" to akito! expos high school girl and movi boy. the ""expo more.['hajirau kimi ga mitainda ; 恥じらう君が見たいんだ', 'umagom rakure', 'ongoing', 'comedi - romanc - seinen - slice of life']"
Off the Plate,"gyul han met jeongro yoon in portug on an unexpect night. the two of them talked, drank, and went home togeth and… that wa that. however, five year later, it seem fate want the pair to meet again. jeongro is now a chef compet in a cook show and gyul is one of the judg on the panel. they are abl to talk about cooking, their past, and their hardship but… will they ever be abl t more.['오프 더 플레이트', 'jai', 'ongoing', 'drama - romanc - smut - webtoon - yaoi']"
Lazy Dungeon Master,"""come on, kill all those bandit for me already!"" ""no thanks. i don't wanna do ani work."" my name is keima masuda, and my hobbi is spend each day do exactli nothing… but one fate night, i wa summon to anoth world where i met a blond young girl who i name rokuko. it seem that fortun had favor me and i would soon be live a wonder life free of work. but even though i'm a gu more.[""zettai ni hatarakitakunai dungeon master ga damin wo musaboru made ; 絶対に働きたくないダンジョンマスターが惰眠をむさぼるまで ; the dungeon master that absolut doesn't want to work befor indulg in laziness"", 'nanaroku - supana onikage', 'ongoing', 'action - adventur - comedi - drama - fantasi - harem - romanc - seinen - isekai']"
"Bind, Connect","the manga center on kanoko and her friend tsunagu. their person are complet opposit of each other, but they are still veri close. but someth happen one day while they'r play near a small mountain shrine that they call nogeyama-sama. more.['musunde, tsunaide,むすんで、つないで。', 'cherri arai', 'ongoing', 'mysteri - school life - slice of life']"
Story of a Small Senior In My Company,"-""mi senpai from work... is tini and cute."" shinozaki is an offic worker who is taken care of and coddl by hi senior team member shiori katase: a gorgeous, profoundli kind, loving, and diminut woman. shinozaki certainli hope that she' not do it out of duty... but her joy of do so increasingli expos her feelings! thi page refer more.[]"
